,CLASSIFICADOR,F1,PRECISAO,REVOGACAO,TESTE [s] ,TREINAMENTO [s]
0,Dummy,0.5,0.5,0.5,0.0,0.0
1,"Floresta de Isolamento: {'bootstrap': True, 'contamination': 'auto', 'max_features': 0.5, 'max_samples': 'auto', 'n_estimators': 50, 'random_state': 1}",0.5,0.5,0.5,0.014957666397094727,0.0548863410949707
2,"Floresta de Isolamento: {'bootstrap': True, 'contamination': 'auto', 'max_features': 0.5, 'max_samples': 'auto', 'n_estimators': 100, 'random_state': 1}",0.5,0.5,0.5,0.028931617736816406,0.10474443435668945
3,"Floresta de Isolamento: {'bootstrap': True, 'contamination': 'auto', 'max_features': 0.5, 'max_samples': 'auto', 'n_estimators': 150, 'random_state': 1}",0.5,0.5,0.5,0.04587268829345703,0.1605696678161621
4,"Floresta de Isolamento: {'bootstrap': True, 'contamination': 'auto', 'max_features': 0.5, 'max_samples': 'auto', 'n_estimators': 200, 'random_state': 1}",0.5,0.5,0.5,0.058843135833740234,0.20741939544677734
5,"Floresta de Isolamento: {'bootstrap': True, 'contamination': 'auto', 'max_features': 0.5, 'max_samples': 0.5, 'n_estimators': 50, 'random_state': 1}",0.5833333333333334,0.5833333333333334,0.5833333333333334,0.015956401824951172,0.05186152458190918
6,"Floresta de Isolamento: {'bootstrap': True, 'contamination': 'auto', 'max_features': 0.5, 'max_samples': 0.5, 'n_estimators': 100, 'random_state': 1}",0.5,0.5,0.5,0.029888391494750977,0.10375380516052246
7,"Floresta de Isolamento: {'bootstrap': True, 'contamination': 'auto', 'max_features': 0.5, 'max_samples': 0.5, 'n_estimators': 150, 'random_state': 1}",0.5,0.5,0.5,0.04287862777709961,0.15558385848999023
8,"Floresta de Isolamento: {'bootstrap': True, 'contamination': 'auto', 'max_features': 0.5, 'max_samples': 0.5, 'n_estimators': 200, 'random_state': 1}",0.5,0.5,0.5,0.05784463882446289,0.2094402313232422
9,"Floresta de Isolamento: {'bootstrap': True, 'contamination': 'auto', 'max_features': 0.5, 'max_samples': 0.75, 'n_estimators': 50, 'random_state': 1}",0.5,0.5,0.5,0.015956878662109375,0.05585050582885742
10,"Floresta de Isolamento: {'bootstrap': True, 'contamination': 'auto', 'max_features': 0.5, 'max_samples': 0.75, 'n_estimators': 100, 'random_state': 1}",0.5,0.5,0.5,0.029919862747192383,0.10571718215942383
11,"Floresta de Isolamento: {'bootstrap': True, 'contamination': 'auto', 'max_features': 0.5, 'max_samples': 0.75, 'n_estimators': 150, 'random_state': 1}",0.5,0.5,0.5,0.04288530349731445,0.15857625007629395
12,"Floresta de Isolamento: {'bootstrap': True, 'contamination': 'auto', 'max_features': 0.5, 'max_samples': 0.75, 'n_estimators': 200, 'random_state': 1}",0.5,0.5,0.5,0.057871103286743164,0.2064213752746582
13,"Floresta de Isolamento: {'bootstrap': True, 'contamination': 'auto', 'max_features': 0.5, 'max_samples': 1.0, 'n_estimators': 50, 'random_state': 1}",0.5,0.5,0.5,0.01592564582824707,0.053887128829956055
14,"Floresta de Isolamento: {'bootstrap': True, 'contamination': 'auto', 'max_features': 0.5, 'max_samples': 1.0, 'n_estimators': 100, 'random_state': 1}",0.5,0.5,0.5,0.02991318702697754,0.10472607612609863
15,"Floresta de Isolamento: {'bootstrap': True, 'contamination': 'auto', 'max_features': 0.5, 'max_samples': 1.0, 'n_estimators': 150, 'random_state': 1}",0.5,0.5,0.5,0.04291653633117676,0.16057085990905762
16,"Floresta de Isolamento: {'bootstrap': True, 'contamination': 'auto', 'max_features': 0.5, 'max_samples': 1.0, 'n_estimators': 200, 'random_state': 1}",0.5,0.5,0.5,0.057846784591674805,0.20844244956970215
17,"Floresta de Isolamento: {'bootstrap': True, 'contamination': 'auto', 'max_features': 0.75, 'max_samples': 'auto', 'n_estimators': 50, 'random_state': 1}",0.5,0.5,0.5,0.015989303588867188,0.05383110046386719
18,"Floresta de Isolamento: {'bootstrap': True, 'contamination': 'auto', 'max_features': 0.75, 'max_samples': 'auto', 'n_estimators': 100, 'random_state': 1}",0.5,0.5,0.5,0.02989482879638672,0.10471391677856445
19,"Floresta de Isolamento: {'bootstrap': True, 'contamination': 'auto', 'max_features': 0.75, 'max_samples': 'auto', 'n_estimators': 150, 'random_state': 1}",0.5,0.5,0.5,0.04388165473937988,0.1575791835784912
20,"Floresta de Isolamento: {'bootstrap': True, 'contamination': 'auto', 'max_features': 0.75, 'max_samples': 'auto', 'n_estimators': 200, 'random_state': 1}",0.5,0.5,0.5,0.06285858154296875,0.20941519737243652
21,"Floresta de Isolamento: {'bootstrap': True, 'contamination': 'auto', 'max_features': 0.75, 'max_samples': 0.5, 'n_estimators': 50, 'random_state': 1}",0.5,0.5,0.5,0.014961481094360352,0.05285167694091797
22,"Floresta de Isolamento: {'bootstrap': True, 'contamination': 'auto', 'max_features': 0.75, 'max_samples': 0.5, 'n_estimators': 100, 'random_state': 1}",0.5,0.5,0.5,0.02991962432861328,0.1066904067993164
23,"Floresta de Isolamento: {'bootstrap': True, 'contamination': 'auto', 'max_features': 0.75, 'max_samples': 0.5, 'n_estimators': 150, 'random_state': 1}",0.5,0.5,0.5,0.04385042190551758,0.15658807754516602
24,"Floresta de Isolamento: {'bootstrap': True, 'contamination': 'auto', 'max_features': 0.75, 'max_samples': 0.5, 'n_estimators': 200, 'random_state': 1}",0.5,0.5,0.5,0.05881834030151367,0.20644807815551758
25,"Floresta de Isolamento: {'bootstrap': True, 'contamination': 'auto', 'max_features': 0.75, 'max_samples': 0.75, 'n_estimators': 50, 'random_state': 1}",0.5,0.5,0.5,0.01493525505065918,0.054847002029418945
26,"Floresta de Isolamento: {'bootstrap': True, 'contamination': 'auto', 'max_features': 0.75, 'max_samples': 0.75, 'n_estimators': 100, 'random_state': 1}",0.5,0.5,0.5,0.029895782470703125,0.10673880577087402
27,"Floresta de Isolamento: {'bootstrap': True, 'contamination': 'auto', 'max_features': 0.75, 'max_samples': 0.75, 'n_estimators': 150, 'random_state': 1}",0.5,0.5,0.5,0.043847084045410156,0.1585865020751953
28,"Floresta de Isolamento: {'bootstrap': True, 'contamination': 'auto', 'max_features': 0.75, 'max_samples': 0.75, 'n_estimators': 200, 'random_state': 1}",0.5,0.5,0.5,0.0578465461730957,0.20746970176696777
29,"Floresta de Isolamento: {'bootstrap': True, 'contamination': 'auto', 'max_features': 0.75, 'max_samples': 1.0, 'n_estimators': 50, 'random_state': 1}",0.5,0.5,0.5,0.015956878662109375,0.05188632011413574
30,"Floresta de Isolamento: {'bootstrap': True, 'contamination': 'auto', 'max_features': 0.75, 'max_samples': 1.0, 'n_estimators': 100, 'random_state': 1}",0.5,0.5,0.5,0.029920101165771484,0.10469555854797363
31,"Floresta de Isolamento: {'bootstrap': True, 'contamination': 'auto', 'max_features': 0.75, 'max_samples': 1.0, 'n_estimators': 150, 'random_state': 1}",0.5,0.5,0.5,0.0438840389251709,0.15555858612060547
